Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kilojoule (kJ);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Kohlenhydrate, verfügbar (g);Zucker (g);Nahrungsfasern (g);Protein (g);Wasser (g)
Agar Agar;;Verschiedenes/Gelier- und Bindemittel;pro 100g essbarer Anteil;641;0.2;;;;0;;74.1;2.4;20.5
Agavensirup;Agavendicksaft;Süssigkeiten/Zucker und Süssstoffe;pro 100g essbarer Anteil;1240;0;0;;;73.1;;0;0.2;
Ahornsirup;;Süssigkeiten/Zucker und Süssstoffe;pro 100 ml;1520;0.3;0;0.1;0.1;88.7;77.3;0;0;42.4
Alge, Nori, getrocknet;Algen, getrocknet;Gemüse/Gemüse getrocknet;pro 100g essbarer Anteil;1060;1.6;0.2;0.1;0.6;10.5;0.5;36.3;31.5;6.5
Älplermagronen, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;753;9;5.3;2.1;0.5;17.8;1.3;1.7;6;65.6
Amaranth, Samen, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;500;2.1;0.4;0.5;0.8;18.1;0.5;3.5;5;71.2
Amaranth, Samen, roh;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;1580;7;1.5;1.7;2.8;56.8;1.7;11;15.8;11.1
Amaretti (Mandelgebäck);;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;1950;13;1;7.8;2.8;76.7;76.4;2.6;8.8;0
Ananas, in Ananassaft, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;255;0.1;;;;13.6;12.8;1.4;0.5;84.5
Ananas, in Ananassaft, Konserve, nicht abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;249;0.1;;;;13.6;12.6;0.9;0.4;84.9
Ananas, in Sirup, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;295;0.1;;;;15.9;15.9;1.6;0.5;82
Ananas, mit Süssungsmittel, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;179;0.1;0;0;0;9.4;8.4;1;0.5;86.4
Ananas, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;221;0.1;;;;11.7;10.5;1.2;0.5;86.4
Ananassaft;;Früchte/Fruchtsäfte;pro 100g essbarer Anteil;218;0.1;0;0;0.1;12.1;12.1;0.2;0.4;86.3
Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;237;0.3;0.1;0;0.2;12.2;12.1;1.5;0.3;85.7
Apfel, geschält, getrocknet;Dörrapfel;Früchte/Früchte getrocknet;pro 100g essbarer Anteil;1120;1.6;0.7;0.1;0.9;55.4;50;11.2;1.4;26.8
Apfel, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;222;0.3;0.1;0;0.2;11.6;11.5;1.4;0.3;85.4
Apfelkuchen, hausgemacht, gebacken (mit Blätterteig);Apfelwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;606;6.8;3;2.6;0.8;17.8;9.4;1.3;2.4;71.8
Apfelkuchen, hausgemacht, gebacken (mit Kuchenteig);Apfelwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;616;6.6;3;2.5;0.8;18.5;9.4;1.3;2.6;71
Apfelmus, gezuckert (Konserve);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;379;0.3;0.1;0;0.1;20.5;20.4;1.9;0.3;76.5
Apfelmus, ungezuckert (Konserve);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;232;0.3;0.1;0;0.1;11.7;11.6;2.1;0.3;85
Apfelsaft;Süssmost;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;212;0.1;0;0;0;11.9;11.3;0.2;0.2;91.9
Apfelwein, 4 vol%;"Apfelmost;Saurer Most;Cider";Alkoholhaltige Getränke/Wein;pro 100 ml;132;0;0;0;0;2.5;2.5;0;0;93.2
Apfelwein, 6.2 vol%;"Apfelmost;Saurer Most;Cider";Alkoholhaltige Getränke/Wein;pro 100 ml;269;0;0;0;0;7.3;7.3;0;0;86.9
Appenzeller, viertelfett;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;985;11.4;6.8;2.7;0.5;0;0;0;33.1;48.2
Appenzeller, vollfett;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1590;31.7;19;7.4;1.5;0;0;0;24.3;39.6
Aprikose, gedünstet, abgetropft (ohne Zugabe von Zucker);Marille;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;189;0.2;0;0.1;0;9;6.7;1.7;1;88.2
Aprikose, getrocknet;"Dörraprikose;Marille";Früchte/Früchte getrocknet;pro 100g essbarer Anteil;1010;0.5;0.2;0.1;0.2;59.1;34.3;8.3;2.9;24.7
Aprikose, in Sirup, Konserve, abgetropft;Marille;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;264;0.1;0;0.1;0;13.7;13.3;1.4;0.9;83
Aprikose, mit Süssungsmittel, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;171;0.1;0;0.1;0;8.2;6.1;1.4;0.9;89.4
Aprikose, roh;Marille;Früchte/Früchte frisch;pro 100g essbarer Anteil;185;0.1;0;0.1;0;9;6.7;1.7;0.8;87.1
Aprikosenkuchen, hausgemacht, gebacken (mit Blätterteig);"Marille;Aprikosenwähe";"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;582;6.7;3;2.6;0.7;16.1;6.2;1.5;2.8;73
Aprikosenkuchen, hausgemacht, gebacken (mit Kuchenteig);"Aprikosenwähe;Marille";"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;592;6.5;2.9;2.5;0.7;16.8;6.2;1.5;3;72.2
Artischocken, Herz, abgetropft (Konserve);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;114;0.5;;;;2.3;1.2;3.2;1.8;90.5
Aubergine, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;88;0.1;0;0;0.1;2.4;2.4;2.7;1.1;93.5
Aubergine, gedünstet (ohne Zugabe von Fett und Salz);Eierfrucht;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;101;0.2;0;0;0.1;2.8;2.8;3.2;1.3;92.6
Aubergine, roh;Eierfrucht;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;86;0.1;0;0;0.1;2.4;2.4;2.7;1.1;92.9
Auberginen-Piccata, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;575;8.3;2.3;4.2;1;8.9;2.3;2.7;5.6;74.6
Auberginenscheiben, paniert, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;567;5.8;0.7;3.6;0.9;14.6;2.7;3.1;4.7;72
Aufschnitt (Durchschnitt);;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;1140;24.2;9.1;11.3;2.3;0.7;0.7;0;13.9;61.2
Avocado, roh;;"Gemüse/Gemüse frisch;Nüsse, Samen und Ölfrüchte";pro 100g essbarer Anteil;650;15.1;2.8;7.7;1.7;1.2;1.1;5.5;1.6;75.7
Bäckerhefe, gepresst;Bierhefe;"Verschiedenes/Hefe;Verschiedenes/Backzutaten";pro 100g essbarer Anteil;402;1.2;0.2;0.4;0.6;1.1;0;6.9;16.7;72
Balsamicoessig;"Balsamessig;Aceto Balsamico";Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;544;0.6;0;0;0;25.8;19.1;0.5;0.7;70.3
Bami Goreng, zubereitet;;Gerichte/Asiatische Gerichte;pro 100g essbarer Anteil;548;2.4;0.3;1.3;0.5;13.1;1.3;0.9;13.5;70.1
Banane, gedörrt;Bananenchips;Früchte/Früchte getrocknet;pro 100g essbarer Anteil;1570;1.8;0.7;0.2;0.3;80.7;65.3;7.6;3.9;3
Banane, getrocknet;;Früchte/Früchte getrocknet;pro 100g essbarer Anteil;1160;1;0.4;0.1;0.2;60.2;43.7;5.5;3;28
Banane, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;378;0.1;;;;19.7;15.6;2.7;1.1;75.8
Basilikum, roh;;Gemüse/Kräuter;pro 100g essbarer Anteil;194;0.8;0.1;0;0.4;5.1;5;3.1;3.1;86.4
Basler Leckerli;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;1740;7.9;0.7;4.5;1.8;75;52;2.8;7.5;7
Bauernbrot;Burebrot;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1020;2;0.7;0.4;0.6;44.3;2.4;4.4;9.2;40.8
Bauernschüblig;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;2170;48.5;18.8;23;4.4;0.3;0.3;0;21.3;29.7
Baumnuss;Walnuss;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;2930;67.3;6.5;14.1;43.6;6.9;3;6.7;15.7;4
Baumnussbrot;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1390;17.9;3.9;3.8;8.9;30.8;2;5.8;9.2;37.2
Baumnussöl;;Fette und Öle/Öle;pro 100 ml;3330;90;9;15.1;62.6;0;0;0;0;0
Béchamelsauce, hausgemacht;;Verschiedenes/Saucen;pro 100g essbarer Anteil;612;9.9;6;2.3;0.5;10.1;4.8;0.2;4.2;75.5
Beeren (Durchschnitt), gekocht (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;149;0.6;0;0;0.1;5.3;5;3.2;0.7;90.2
Beeren (Durchschnitt), roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;169;0.5;0;0;0.1;6.3;5.9;3.7;0.7;88.7
Berliner;Pfannkuchen;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;1410;12.8;6.8;4;0.9;45.8;17.1;2.2;8.4;32.2
Berner Alpkäse;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1880;38.3;;;;0;;0;27.1;26.2
Berner Hobelkäse;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;2030;41.2;;;;0;;0;30;21.9
Berner Zungenwurst;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;1380;29.4;10.8;13.7;3;0;0;0;17.3;53.3
Biber;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;1500;5.6;0.7;3;1.3;65.6;36.9;3;7.8;18.1
Bier Panache (Durchschnitt);;Alkoholhaltige Getränke/Bier;pro 100 ml;166;0;0;0;0;7.4;7.1;0;0.2;91.1
Bier, alkoholfrei;;Alkoholhaltige Getränke/Bier;pro 100 ml;99;0;0;0;0;4.9;2.6;0;0.4;93.3
Bier, Lager;;Alkoholhaltige Getränke/Bier;pro 100 ml;176;0;0;0;0;3.1;2.2;0;0.5;91.9
Bierhefe, getrocknet;"Bäckerhefe;Trockenhefe;Hefepulver";"Speziallebensmittel/Supplemente;Verschiedenes/Hefe";pro 100g essbarer Anteil;1500;4.2;0.6;1.3;2.1;26.5;3.2;9.5;47.9;6
Bierwurst;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;1210;25.4;9.4;11.8;2.6;0;0;0;15.6;59
Birchermüesli, zubereitet (ungezuckert);;Gerichte/Müesli und Brei;pro 100g essbarer Anteil;361;3.1;1.1;1;0.7;11.1;8.2;1.5;2.6;81.7
Birne, gedünstet, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;240;0.4;0.1;0.1;0.2;11.3;9.4;3;0.6;84.7
Birne, getrocknet;"Dörrbirne;Trockenbirne";Früchte/Früchte getrocknet;pro 100g essbarer Anteil;1220;1.4;0.2;0.3;0.6;59.7;49.6;13.5;2.3;20
Birne, in Sirup, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;298;0.4;0.1;0.1;0.2;15.2;14.4;2.6;0.4;81.3
Birne, mit Süssungsmittel, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;210;0.3;0.1;0.1;0.1;9.9;8.2;2.6;0.5;86.6
Birne, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;227;0.3;0.1;0.1;0.1;10.9;9;2.9;0.5;83.5
Birnenkuchen, hausgemacht, gebacken (mit Blätterteig);Birnenwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;610;6.8;3;2.6;0.8;17.4;7.8;2.3;2.6;71
Birnenkuchen, hausgemacht, gebacken (mit Kuchenteig);Birnenwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;619;6.6;3;2.5;0.8;18.1;7.8;2.3;2.8;70.3
Birnensaft;;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;222;0.3;0;0.1;0.1;12.1;10;0;0.5;90.5
Birnenweggen;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;1520;10.4;5.9;2.5;0.9;57.2;33.5;6.9;4.9;20
Blanc battu mit Früchten, mit Süsstoffen;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;285;0.2;0.1;0;0;8.3;5.2;0.3;8;83.1
Blanc battu, nature, mager;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;200;0;0;0;0;3.9;3.9;;7.8;86.5
Blätterteig (mit pflanzichem Fett), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;1610;24.3;10.9;9.8;2.6;35.1;0.1;1.6;5.7;32.2
Blätterteig, hausgemacht (Butter), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;1510;24.7;14.6;5.8;1.4;29.4;0.3;1.3;5.2;39.8
Blätterteig, hausgemacht (mit pflanzlichem Fett), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;1450;23.2;7.1;11.1;4.4;29.3;0.2;1.3;5.2;41.5
Blätterteigstängel;Flûtes;Salzige Snacks/Blätterteiggebäcke;pro 100g essbarer Anteil;2040;32.9;15;11.6;4;40.4;0.3;1.8;7.1;18.3
Blattgemüse (Durchschnitt exkl. Salate), gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;101;0.3;0.1;0;0.1;2.8;2.4;1.9;1.5;94.9
Blattgemüse (Durchschnitt exkl. Salate), gedünstet (ohne Zugabe von Salz und Fett);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;104;0.3;0.1;0;0.1;2.9;2.4;2;1.6;93.2
Blattgemüse (Durchschnitt exkl. Salate), gekocht (ohne Zugabe von Salz und Fett);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;97;0.3;0.1;0;0.1;2.7;2.3;1.9;1.5;93.6
Blattsalat (Durchschnitt), roh ;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;79;0.3;0;0;0.2;1.6;1.5;1.7;1.6;94.9
Blauschimmelkäse (Durchschnitt);;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1490;31.5;18.9;7.4;1.5;0.2;0.1;0;19.1;48.9
Blumenkohl, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;109;0.7;0.2;0.1;0.3;2.1;1.7;2;1.8;92.8
Blumenkohl, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;109;0.7;0.2;0.1;0.3;2.1;1.7;2;1.8;92.9
Blutwurst;;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;619;10.9;4.6;4.6;1;2.5;2.4;0.1;10.2;76.2
Bohne (alle Arten), gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;465;0.6;0.1;0;0.3;14.5;0.4;8.5;7.7;68.8
Bohne (alle Arten), getrocknet;"Weisse Bohne;Rote Bohne;Borlotti Bohne";Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;1280;1.5;0.3;0.1;0.7;40.7;1.2;22.6;20.9;10.4
Bohne, grün, gedämpft (ohne Zugabe von Salz);Gartenbohne;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;141;0.2;0.1;0;0.1;4.4;3.4;3.2;2;90
Bohne, grün, getrocknet;Dörrbohne;Gemüse/Gemüse getrocknet;pro 100g essbarer Anteil;1340;2;0.4;0.1;1.1;42.1;22.2;25.3;20.2;6
Bohne, grün, roh;Gartenbohne;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;134;0.2;0.1;0;0.1;4.1;3.3;3;1.9;90.5
Bolognaisesauce;Tomaten-Hackfleischsauce;Verschiedenes/Saucen;pro 100g essbarer Anteil;402;4;1.4;2.1;0.4;8.3;2.6;0.6;6.3;80.9
Bouillon, Fleisch, zubereitet;Klare Brühe;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;20;0.3;0.2;0.1;0;0.2;0;;0.3;98
Bouillon, Geflügel, zubereitet;Klare Brühe;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;21;0.3;0.1;0.1;0.1;0.3;0.1;;0.3;98.1
Bouillon, Gemüse, zubereitet;Klare Brühe;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;26;0.4;0.1;0.2;0.1;0.4;0.1;;0.3;97.5
Branchli (Milchschokolade mit Haselnusscrèmefüllung);Schokoladenstängeli;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;2330;35.7;16.7;14.4;2.4;49.1;47.3;3.7;8.3;3.9
Branntwein aus Getreide, 40 vol% (z.B. Whisky);Getreideschnaps;Alkoholhaltige Getränke/Spirituosen;pro 100 ml;972;0;0;0;0;0.1;0.1;0;0;61.5
Branntwein aus Wein (z.B.Cognac, Brandy);;Alkoholhaltige Getränke/Spirituosen;pro 100 ml;944;0;0;0;0;1.9;1.9;0;0;61.6
Branntwein aus Zuckerrohr (z.B. Rum);Zuckerrohrschnaps;Alkoholhaltige Getränke/Spirituosen;pro 100 ml;920;0;0;0;0;0;0;0;0;63.2
Bratbutter;;"Fette und Öle/Fette;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;3640;98.3;58.9;23.1;4.5;0;0;0;0.1;1.1
Bratensauce, gebunden;;Verschiedenes/Saucen;pro 100g essbarer Anteil;221;3;0.7;1.3;0.3;4.6;0.8;0.5;1.6;88.8
Bratensauce, klar;;Verschiedenes/Saucen;pro 100g essbarer Anteil;182;2.5;0.5;1.3;0.3;3.5;1.5;0.5;1.5;90.6
Bresaola;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;704;3.9;1.6;1.9;0.2;0.4;;0;32.4;58.2
Brie, Rahm;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;1420;30;18;7;1.4;0;0;0;17.7;48.5
Brie, vollfett;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;1240;23.5;14.1;5.5;1.1;0;0;0;21.4;51.4
Broccoli, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;149;0.5;0.1;0.1;0.2;2.9;1.7;2.8;3.3;90.9
Broccoli, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;163;0.6;0.2;0.1;0.3;3.2;1.9;3.2;3.6;88.2
Brombeere, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;198;0.7;0.1;0.2;0.4;6.5;6.1;5.2;1.1;86.1
Brombeerkuchen, hausgemacht (mit süssem Mürbeteig);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;896;11.7;5.7;3.9;1.2;22.3;10.2;3.6;3.2;59.4
Brombeerkuchen, hausgemacht, gebacken (mit Blätterteig);Brombeerwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;590;7.1;3;2.7;1;14.5;5.8;3.8;3;71.7
Brombeerkuchen, hausgemacht, gebacken (mit Kuchenteig);Brombeerwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;600;6.9;3;2.6;1;15.2;5.8;3.9;3.2;71
Brot (Durchschnitt);;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1110;4.6;2.3;1;0.7;44.6;1.3;3.7;9.2;38.7
Brühwürste geräuchert (Durchschnitt);;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;1030;21.2;8.2;9.8;1.8;0.5;0.5;0;14;64.3
Brühwürste ungeräuchert (Durchschnitt);;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;1040;21.6;8.1;10.2;2.2;0.8;0.8;0;13.4;64.2
Brunnenkresse, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;71;0.2;0.1;0;0.1;0.3;0.3;2.6;2.2;93.5
Brunsli;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;2150;29.9;5.7;16.4;5.4;43.3;39.4;6.8;14.9;7.5
Buchweizen, Korn geschält;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;1470;1.7;0.4;0.6;0.6;71;0.4;3.7;9.8;12.8
Buchweizenmehl;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1470;2.2;0.3;0.5;0.6;68.4;0;4.2;11.5;12.1
Bündner Gerstensuppe;;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;175;0.9;0.5;0.3;0.2;6.7;1.3;0.5;1.4;91
Burger mit Fisch;;Gerichte/Fast Food;pro 100g essbarer Anteil;1100;11.5;4.9;2.9;3;26.7;3.9;1.5;12.2;46.1
Burger mit Poulet;;Gerichte/Fast Food;pro 100g essbarer Anteil;1040;11;1.9;5.8;2.7;23.8;2.9;1.2;12.7;49
Bürli (halbweiss);;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;912;1;0.2;0.2;0.5;41.5;0.4;2.9;8.6;46.7
Buttergipfeli, hell;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1800;24.2;14.2;5.7;1.5;43.5;3.3;2.6;8.7;21.6
Buttergipfeli, Vollkorn;Rusticogipfeli;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1540;19.7;11.5;4.6;1.3;38.7;2.2;4.2;6.8;31.1
Buttermilch;;Milch und Milchprodukte/Milch- und Joghurtgetränke;pro 100 ml;145;0.5;0.3;0.1;0;4;4;0;3.4;90.5
Butterweggli;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1300;8.7;4.9;2;0.8;47.3;3.4;2.2;9.4;33.1
Butterzopf;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1370;11.4;6.5;2.6;0.9;45.7;2.9;2.1;9;32.5
Butterzopf, Vollkorn;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1150;6.4;3.2;1.4;1.2;40.4;0.9;7.3;9.5;36.9
Café crème, ungezuckert;;Alkoholfreie Getränke/Kaffee;pro 100 ml;55;1.1;0.7;0.3;0.1;0.5;0.3;0.1;0.3;98
Cake Financier;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;1840;26.1;8;11.5;3.8;38.5;29.9;3.3;11.1;22.3
Calimocho (Rotwein mit Cola);;"Alkoholfreie Getränke/Süssgetränke;Alkoholhaltige Getränke/Sonstige alkoholische Getränke";pro 100 ml;228;0;0;0;0;5.2;5.1;0;0.1;90
Camembert, halbfett;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;785;10;6;2.4;0.5;0;0;0;24.4;58.5
Camembert, Rahm;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;1470;31.7;19;7.5;1.5;0;0;0;17.1;47.6
Camembert, vollfett;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;1230;23.7;14.2;5.6;1.1;0;0;0;20.8;52.1
